"month","unique_carrier","carrier_name","sdomt_gallons","satl_gallons","spac_gallons","slat_gallons","sint_gallons","ts_gallons","tdomt_gallons","tint_gallons","total_gallons","sdomt_cost","satl_cost","spac_cost","slat_cost","sint_cost","ts_cost","tdomt_cost","tint_cost","total_cost","year"
3,"PO","Polar Air Cargo Airways",2855050,746847,12632848,0,13379695,16234745,2855050,13379695,16234745,5715144,1638605,23950550,0,25589155,31304299,5715144,25589155,31304299,2019
3,"QX","Horizon Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"SY","Sun Country Airlines d/b/a MN Airlines",4298659,0,0,2346265,2346265,6644924,5031559,2401549,7433108,9450123,0,0,5577475,5577475,15027598,12628918,5712762,18341680,2019
3,"U7","USA Jet Airlines Inc.",0,0,0,0,0,0,740889,45376,786265,0,0,0,0,0,0,1496040,157033,1653073,2019
3,"UA","United Air Lines Inc.",147713026,59512296,55608646,34000681,149121623,296834649,148464310,149383772,297848082,293660063,118095979,111813272,72117501,302026752,595686815,295178703,302550240,597728943,2019
3,"WI","Sky Lease Cargo",0,0,0,0,0,0,0,1343397,1343397,0,0,0,0,0,0,0,2932536,2932536,2019
3,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",0,0,0,0,0,0,54955,4135,59090,0,0,0,0,0,0,124385,9359,133744,2019
3,"X9","Omni Air International LLC",0,0,0,0,0,0,546781,3383937,3930718,0,0,0,0,0,0,1419862,6522442,7942304,2019
3,"XP","XTRA Airways",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"YV","Mesa Airlines Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"YX","Republic Airline",13935,0,0,0,0,13935,13935,0,13935,29768,0,0,0,0,29768,29768,0,29768,2019
3,"WN","Southwest Airlines Co.",177681157,0,0,2488121,2488121,180169278,177789535,2488121,180277656,352911927,0,0,6073530,6073530,358985457,353137046,6073530,359210576,2019
4,"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",0,0,0,0,0,0,438847,573413,1012260,0,0,0,0,0,0,1519482,1110701,2630183,2019
4,"0WQ","Avjet Corporation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",0,0,0,0,0,0,1458,33138,34596,0,0,0,0,0,0,7463,80526,87989,2019
4,"27Q","Jet Aviation Flight Services, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,"2HQ","Elite Airways LLC",108171,0,0,0,0,108171,257621,0,257621,292609,0,0,0,0,292609,890987,0,890987,2019
4,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",293620,0,0,0,0,293620,333350,0,333350,821935,0,0,0,0,821935,933152,0,933152,2019
