"seats","passengers","distance","unique_carrier","year","month","class"
179,84,201,"09Q",2018,7,"L"
256,181,967,"UA",2018,12,"F"
3952,3447,1670,"OO",2018,3,"F"
360,202,1354,"DL",2018,12,"F"
2250,1930,751,"OO",2018,2,"F"
5839,4525,762,"AA",2019,8,"F"
3,1,16,"K2",2018,1,"L"
2975,2331,967,"WN",2018,8,"F"
525,490,1214,"WN",2019,1,"F"
954,677,956,"AS",2018,1,"F"
6840,5490,500,"OH",2018,10,"F"
150,71,638,"OO",2018,10,"F"
0,0,5143,"LH",2019,10,"G"
0,0,3266,"CX",2019,5,"G"
12,9,1198,"27Q",2019,8,"L"
360,307,1388,"AV",2018,7,"F"
6235,4694,4768,"NH",2018,2,"F"
11583,9302,814,"WN",2019,11,"F"
304,278,667,"YX",2019,5,"F"
10240,7641,460,"AA",2018,1,"F"
1,0,14,"7S",2018,11,"G"
7568,4894,4353,"DI",2019,1,"F"
162,74,147,"8E",2019,12,"F"
8,0,461,"3EQ",2019,9,"L"
12,0,34,"H6",2019,9,"F"
1575,1386,1105,"WN",2019,11,"F"
1116,545,76,"9K",2019,5,"F"
12,2,184,"27Q",2019,5,"L"
3718,2199,920,"WN",2018,1,"F"
13680,10309,335,"OH",2018,3,"F"
621,518,1034,"OO",2018,8,"F"
302,147,145,"GV",2019,3,"F"
0,0,588,"FX",2018,3,"G"
166,116,474,"UA",2018,1,"F"
76,49,615,"OO",2018,9,"F"
76,74,305,"MQ",2019,2,"F"
50,50,304,"9E",2019,1,"F"
0,0,150,"FX",2019,2,"G"
0,0,964,"CX",2019,7,"G"
456,304,120,"OO",2019,4,"F"
4640,4164,880,"DL",2019,6,"F"
3840,3162,1103,"AA",2019,9,"F"
50,46,561,"EV",2019,8,"F"
700,543,67,"AX",2019,2,"F"
0,0,3799,"KE",2018,5,"G"
640,588,717,"UA",2018,6,"F"
2750,2110,281,"PT",2019,9,"F"
8832,6972,328,"AA",2018,11,"F"
76,60,659,"9E",2018,8,"F"
1404,716,647,"G4",2019,10,"F"
756,719,2005,"DL",2019,5,"F"
5580,4800,2106,"NK",2018,1,"F"
7067,5155,301,"9E",2019,12,"F"
152,138,103,"QX",2018,12,"F"
498,345,1290,"UA",2018,10,"F"
360,331,1473,"NK",2018,3,"F"
126,117,585,"UA",2018,10,"F"
50,23,404,"AX",2018,2,"L"
18,0,95,"7S",2019,6,"G"
4130,3390,479,"YX",2018,5,"F"
0,0,4452,"KAQ",2018,5,"P"
70,60,912,"YX",2019,5,"F"
715,650,758,"WN",2019,6,"F"
3748,2543,1587,"AA",2019,11,"F"
3738,2789,956,"AS",2019,2,"F"
2100,1953,1407,"WN",2018,6,"F"
76,74,475,"YX",2019,6,"F"
3000,2620,209,"OO",2019,5,"F"
0,0,153,"7S",2018,7,"G"
0,0,409,"FX",2018,10,"G"
4130,3463,230,"G7",2019,7,"F"
50,0,407,"EV",2018,4,"F"
0,0,121,"U7",2019,7,"P"
2,0,0,"7S",2019,5,"G"
76,64,692,"YX",2019,5,"F"
1960,1536,416,"YX",2018,9,"F"
15936,12461,321,"DL",2018,2,"F"
7194,6277,3635,"DY",2019,10,"F"
8723,5688,182,"WN",2019,10,"F"
4424,3931,332,"DL",2019,7,"F"
0,0,175,"FX",2018,7,"G"
10614,7371,5699,"UA",2018,4,"F"
